"date" "confirmed" "deaths" "recovered"
"1" 2020-01-22 444 17 28
"2" 2020-01-23 444 17 28
"3" 2020-01-24 549 24 31
"4" 2020-01-25 761 40 32
"5" 2020-01-26 1058 52 42
"6" 2020-01-27 1423 76 45
"7" 2020-01-28 3554 125 80
"8" 2020-01-29 3554 125 88
"9" 2020-01-30 4903 162 90
"10" 2020-01-31 5806 204 141
"11" 2020-02-01 7153 249 168
"12" 2020-02-02 11177 350 295
"13" 2020-02-03 13522 414 386
"14" 2020-02-04 16678 479 522
"15" 2020-02-05 19665 549 633
"16" 2020-02-06 22112 618 817
"17" 2020-02-07 24953 699 1115
"18" 2020-02-08 27100 780 1439
"19" 2020-02-09 29631 871 1795
"20" 2020-02-10 31728 974 2222
"21" 2020-02-11 33366 1068 2639
"22" 2020-02-12 33366 1068 2686
"23" 2020-02-13 48206 1310 3459
"24" 2020-02-14 54406 1457 4774
"25" 2020-02-15 56249 1596 5623
"26" 2020-02-16 58182 1696 6639
"27" 2020-02-17 59989 1789 7862
"28" 2020-02-18 61682 1921 9128
"29" 2020-02-19 62031 2029 10337
"30" 2020-02-20 62442 2144 11788
"31" 2020-02-21 62662 2144 11881
